run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,0,N01,0,0.0,0.0,0.0,0.0,1.2296016683331166,1.2296016683331166,0.0,0.0
0,1,N01,0,1.0,1.0,1.0,1.2296016683331166,3.7440838055603507,2.514482137227234,0.22960166833311657,0.0
0,2,N01,0,2.0,2.0,2.0,3.7440838055603507,5.099420643367202,1.3553368378068509,1.7440838055603507,0.0
0,3,N01,0,3.0,3.0,3.0,5.099420643367202,7.566655307293746,2.4672346639265443,2.0994206433672016,0.0
0,4,N01,0,4.0,4.0,4.0,7.566655307293746,9.301578553152769,1.7349232458590227,3.566655307293746,0.0
0,5,N01,0,5.0,5.0,5.0,9.301578553152769,12.857854370134486,3.5562758169817177,4.301578553152769,0.0
0,6,N01,0,6.0,6.0,6.0,12.857854370134486,15.305563977766123,2.4477096076316376,6.857854370134486,0.0
0,7,N01,0,7.0,7.0,7.0,15.305563977766123,18.43027466858274,3.124710690816615,8.305563977766123,0.0
0,8,N01,0,8.0,8.0,8.0,18.43027466858274,20.585472772661298,2.155198104078556,10.43027466858274,0.0
0,9,N01,0,9.0,9.0,9.0,20.585472772661298,22.04396040621734,1.4584876335560417,11.585472772661298,0.0
0,10,N01,0,10.0,10.0,10.0,22.04396040621734,23.56332502444571,1.5193646182283678,12.04396040621734,0.0
0,11,N01,0,11.0,11.0,11.0,23.56332502444571,25.923120329670304,2.359795305224595,12.56332502444571,0.0
0,12,N01,0,12.0,12.0,12.0,25.923120329670304,28.87149196262073,2.9483716329504244,13.923120329670304,0.0
0,13,N01,0,13.0,13.0,13.0,28.87149196262073,32.10395487501564,3.2324629123949054,15.87149196262073,0.0
0,14,N01,0,14.0,14.0,14.0,32.10395487501564,35.83857245865958,3.7346175836439413,18.10395487501564,0.0
0,15,N01,0,15.0,15.0,15.0,35.83857245865958,37.04370476759313,1.2051323089335517,20.838572458659577,0.0
0,16,N01,0,16.0,16.0,16.0,37.04370476759313,42.880896019046645,5.837191251453516,21.043704767593127,0.0
0,17,N01,0,17.0,17.0,17.0,42.880896019046645,45.33609685385135,2.4552008348047054,25.880896019046645,0.0
0,18,N01,0,18.0,18.0,18.0,45.33609685385135,49.22414442175212,3.8880475679007707,27.336096853851352,0.0
0,19,N01,0,19.0,19.0,19.0,49.22414442175212,54.16058444702428,4.936440025272153,30.224144421752122,0.0
0,20,N01,0,20.0,20.0,20.0,54.16058444702428,57.380457964444496,3.219873517420218,34.16058444702428,0.0
0,21,N01,0,21.0,21.0,21.0,57.380457964444496,60.42785192151404,3.047393957069545,36.380457964444496,0.0
0,22,N01,0,22.0,22.0,22.0,60.42785192151404,62.6643752322618,2.2365233107477565,38.42785192151404,0.0
0,23,N01,0,23.0,23.0,23.0,62.6643752322618,65.3838629079254,2.7194876756636073,39.6643752322618,0.0
0,24,N01,0,24.0,24.0,24.0,65.3838629079254,68.16639654117549,2.7825336332500887,41.383862907925405,0.0
0,25,N01,0,25.0,25.0,25.0,68.16639654117549,69.23668784233558,1.0702913011600954,43.16639654117549,0.0
0,26,N01,0,26.0,26.0,26.0,69.23668784233558,72.75703514765979,3.5203473053242074,43.236687842335584,0.0
0,27,N01,0,27.0,27.0,27.0,72.75703514765979,76.95759650842204,4.200561360762247,45.75703514765979,0.0
0,28,N01,0,28.0,28.0,28.0,76.95759650842204,79.68405909699214,2.7264625885701044,48.95759650842204,0.0
0,29,N01,0,29.0,29.0,29.0,79.68405909699214,81.67709327800291,1.9930341810107721,50.684059096992144,0.0
0,30,N01,0,30.0,30.0,30.0,81.67709327800291,82.74913522382359,1.0720419458206767,51.677093278002914,0.0
0,31,N01,0,31.0,31.0,31.0,82.74913522382359,84.26926877815147,1.520133554327879,51.749135223823586,0.0
0,32,N01,0,32.0,32.0,32.0,84.26926877815147,90.14524991120037,5.875981133048896,52.26926877815147,0.0
0,33,N01,0,33.0,33.0,33.0,90.14524991120037,92.6196730164493,2.4744231052489334,57.14524991120037,0.0
0,34,N01,0,34.0,34.0,34.0,92.6196730164493,94.10348944312781,1.4838164266785203,58.6196730164493,0.0
0,35,N01,0,35.0,35.0,35.0,94.10348944312781,97.95210471943885,3.84861527631103,59.10348944312781,0.0
0,36,N01,0,36.0,36.0,36.0,97.95210471943885,100.25206121139983,2.2999564919609807,61.95210471943885,0.0
0,37,N01,0,37.0,37.0,37.0,100.25206121139983,102.83495479806852,2.5828935866686855,63.252061211399834,0.0
0,38,N01,0,38.0,38.0,38.0,102.83495479806852,105.07859109995248,2.243636301883956,64.83495479806852,0.0
0,39,N01,0,39.0,39.0,39.0,105.07859109995248,109.43301164864131,4.354420548688837,66.07859109995248,0.0
0,40,N01,0,40.0,40.0,40.0,109.43301164864131,111.52580334856168,2.0927916999203626,69.43301164864131,0.0
0,41,N01,0,41.0,41.0,41.0,111.52580334856168,114.08059060769308,2.5547872591314,70.52580334856168,0.0
0,42,N01,0,42.0,42.0,42.0,114.08059060769308,117.61333232800698,3.5327417203139007,72.08059060769308,0.0
0,43,N01,0,43.0,43.0,43.0,117.61333232800698,118.99767621018836,1.384343882181377,74.61333232800698,0.0
0,44,N01,0,44.0,44.0,44.0,118.99767621018836,120.3958308943991,1.3981546842107362,74.99767621018836,0.0
0,45,N01,0,45.0,45.0,45.0,120.3958308943991,122.69678964359281,2.3009587491937067,75.3958308943991,0.0
0,46,N01,0,46.0,46.0,46.0,122.69678964359281,124.75584046276802,2.0590508191752157,76.69678964359281,0.0
0,47,N01,0,47.0,47.0,47.0,124.75584046276802,129.17130845148685,4.415467988718841,77.75584046276802,0.0
0,48,N01,0,48.0,48.0,48.0,129.17130845148685,130.58884444389975,1.41753599241288,81.17130845148685,0.0
0,49,N01,0,49.0,49.0,49.0,130.58884444389975,132.5621783318143,1.9733338879145454,81.58884444389975,0.0
0,50,N01,0,50.0,50.0,50.0,132.5621783318143,137.76041979839053,5.198241466576243,82.5621783318143,0.0
0,51,N01,0,51.0,51.0,51.0,137.76041979839053,139.38204677485743,1.62162697646689,86.76041979839053,0.0
0,52,N01,0,52.0,52.0,52.0,139.38204677485743,141.37297631921646,1.990929544359022,87.38204677485743,0.0
0,53,N01,0,53.0,53.0,53.0,141.37297631921646,142.4805538465622,1.1075775273457475,88.37297631921646,0.0
0,54,N01,0,54.0,54.0,54.0,142.4805538465622,144.77789792141738,2.2973440748551623,88.4805538465622,0.0
0,55,N01,0,55.0,55.0,55.0,144.77789792141738,147.44254044585736,2.6646425244399956,89.77789792141738,0.0
0,56,N01,0,56.0,56.0,56.0,147.44254044585736,149.85094055755968,2.408400111702324,91.44254044585736,0.0
0,57,N01,0,57.0,57.0,57.0,149.85094055755968,154.58140634504593,4.7304657874862635,92.85094055755968,0.0
0,58,N01,0,58.0,58.0,58.0,154.58140634504593,156.27766574572348,1.6962594006775333,96.58140634504593,0.0
0,59,N01,0,59.0,59.0,59.0,156.27766574572348,161.98959962388875,5.711933878165278,97.27766574572348,0.0
0,0,N02,0,0.0,1.2296016683331166,1.2296016683331166,1.2296016683331166,4.350024809685943,3.1204231413528265,0.0,0.0
0,1,N02,0,1.0,3.7440838055603507,3.7440838055603507,4.350024809685943,6.162462746622954,1.8124379369370118,0.6059410041255919,0.0
0,2,N02,0,2.0,5.099420643367202,5.099420643367202,6.162462746622954,8.375892932811485,2.213430186188532,1.0630421032557527,0.0
0,3,N02,0,3.0,7.566655307293746,7.566655307293746,8.375892932811485,11.15361171901258,2.7777187862010964,0.8092376255177394,0.0
0,4,N02,0,4.0,9.301578553152769,9.301578553152769,11.15361171901258,14.719437450172556,3.565825731159975,1.8520331658598117,0.0
0,5,N02,0,5.0,12.857854370134486,12.857854370134486,14.719437450172556,19.464028981797366,4.74459153162481,1.86158308003807,0.0
0,6,N02,0,6.0,15.305563977766123,15.305563977766123,19.464028981797366,23.3350074345019,3.870978452704534,4.1584650040312425,0.0
0,7,N02,0,7.0,18.43027466858274,18.43027466858274,23.3350074345019,29.173246341343514,5.838238906841616,4.90473276591916,0.0
0,8,N02,0,8.0,20.585472772661298,20.585472772661298,29.173246341343514,30.555793884570793,1.3825475432272796,8.587773568682216,0.0
0,9,N02,0,9.0,22.04396040621734,22.04396040621734,30.555793884570793,31.8418326358456,1.2860387512748062,8.511833478353452,0.0
0,10,N02,0,10.0,23.56332502444571,23.56332502444571,31.8418326358456,37.90525853037721,6.063425894531613,8.278507611399888,0.0
0,11,N02,0,11.0,25.923120329670304,25.923120329670304,37.90525853037721,40.272418037412194,2.367159507034984,11.982138200706906,0.0
0,12,N02,0,12.0,28.87149196262073,28.87149196262073,40.272418037412194,42.412832103602085,2.140414066189888,11.400926074791464,0.0
0,13,N02,0,13.0,32.10395487501564,32.10395487501564,42.412832103602085,46.908675766391084,4.495843662789002,10.308877228586447,0.0
0,14,N02,0,14.0,35.83857245865958,35.83857245865958,46.908675766391084,48.15956908165988,1.250893315268796,11.070103307731507,0.0
0,15,N02,0,15.0,37.04370476759313,37.04370476759313,48.15956908165988,52.81941362264856,4.659844540988681,11.115864314066755,0.0
0,16,N02,0,16.0,42.880896019046645,42.880896019046645,52.81941362264856,56.61966174950448,3.8002481268559176,9.938517603601916,0.0
0,17,N02,0,17.0,45.33609685385135,45.33609685385135,56.61966174950448,58.823357478734586,2.2036957292301067,11.283564895653129,0.0
0,18,N02,0,18.0,49.22414442175212,49.22414442175212,58.823357478734586,61.59135661602802,2.7679991372934385,9.599213056982464,0.0
0,19,N02,0,19.0,54.16058444702428,54.16058444702428,61.59135661602802,66.22736256640404,4.636005950376021,7.430772169003745,0.0
