run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,0,N01,0,0.0,0.0,0.0,0.0,1.2296016683331166,1.2296016683331166,0.0,0.0
0,1,N01,0,5.0,5.0,5.0,5.0,7.514482137227234,2.514482137227234,0.0,0.0
0,2,N01,0,10.0,10.0,10.0,10.0,11.35533683780685,1.3553368378068509,0.0,0.0
0,3,N01,0,15.0,15.0,15.0,15.0,17.467234663926543,2.4672346639265443,0.0,0.0
0,4,N01,0,20.0,20.0,20.0,20.0,21.734923245859022,1.7349232458590227,0.0,0.0
0,5,N01,0,25.0,25.0,25.0,25.0,28.556275816981717,3.5562758169817177,0.0,0.0
0,6,N01,0,30.0,30.0,30.0,30.0,32.44770960763164,2.4477096076316376,0.0,0.0
0,7,N01,0,35.0,35.0,35.0,35.0,38.12471069081661,3.124710690816615,0.0,0.0
0,8,N01,0,40.0,40.0,40.0,40.0,42.15519810407856,2.155198104078556,0.0,0.0
0,9,N01,0,45.0,45.0,45.0,45.0,46.45848763355604,1.4584876335560417,0.0,0.0
0,10,N01,0,50.0,50.0,50.0,50.0,51.519364618228366,1.5193646182283678,0.0,0.0
0,11,N01,0,55.0,55.0,55.0,55.0,57.359795305224594,2.359795305224595,0.0,0.0
0,12,N01,0,60.0,60.0,60.0,60.0,62.948371632950426,2.9483716329504244,0.0,0.0
0,13,N01,0,65.0,65.0,65.0,65.0,68.23246291239491,3.2324629123949054,0.0,0.0
0,14,N01,0,70.0,70.0,70.0,70.0,73.73461758364394,3.7346175836439413,0.0,0.0
0,15,N01,0,75.0,75.0,75.0,75.0,76.20513230893356,1.2051323089335517,0.0,0.0
0,16,N01,0,80.0,80.0,80.0,80.0,85.83719125145352,5.837191251453516,0.0,0.0
0,17,N01,0,85.0,85.0,85.0,85.83719125145352,88.29239208625822,2.4552008348047054,0.8371912514535182,0.0
0,18,N01,0,90.0,90.0,90.0,90.0,93.88804756790077,3.8880475679007707,0.0,0.0
0,19,N01,0,95.0,95.0,95.0,95.0,99.93644002527215,4.936440025272153,0.0,0.0
0,20,N01,0,100.0,100.0,100.0,100.0,103.21987351742021,3.219873517420218,0.0,0.0
0,21,N01,0,105.0,105.0,105.0,105.0,108.04739395706954,3.047393957069545,0.0,0.0
0,22,N01,0,110.0,110.0,110.0,110.0,112.23652331074776,2.2365233107477565,0.0,0.0
0,23,N01,0,115.0,115.0,115.0,115.0,117.7194876756636,2.7194876756636073,0.0,0.0
0,24,N01,0,120.0,120.0,120.0,120.0,122.78253363325008,2.7825336332500887,0.0,0.0
0,25,N01,0,125.0,125.0,125.0,125.0,126.0702913011601,1.0702913011600954,0.0,0.0
0,26,N01,0,130.0,130.0,130.0,130.0,133.5203473053242,3.5203473053242074,0.0,0.0
0,27,N01,0,135.0,135.0,135.0,135.0,139.20056136076224,4.200561360762247,0.0,0.0
0,28,N01,0,140.0,140.0,140.0,140.0,142.72646258857012,2.7264625885701044,0.0,0.0
0,29,N01,0,145.0,145.0,145.0,145.0,146.99303418101078,1.9930341810107721,0.0,0.0
0,30,N01,0,150.0,150.0,150.0,150.0,151.07204194582067,1.0720419458206767,0.0,0.0
0,31,N01,0,155.0,155.0,155.0,155.0,156.52013355432788,1.520133554327879,0.0,0.0
0,32,N01,0,160.0,160.0,160.0,160.0,165.8759811330489,5.875981133048896,0.0,0.0
0,33,N01,0,165.0,165.0,165.0,165.8759811330489,168.35040423829784,2.4744231052489334,0.8759811330488958,0.0
0,34,N01,0,170.0,170.0,170.0,170.0,171.48381642667852,1.4838164266785203,0.0,0.0
0,35,N01,0,175.0,175.0,175.0,175.0,178.84861527631102,3.84861527631103,0.0,0.0
0,36,N01,0,180.0,180.0,180.0,180.0,182.29995649196098,2.2999564919609807,0.0,0.0
0,37,N01,0,185.0,185.0,185.0,185.0,187.5828935866687,2.5828935866686855,0.0,0.0
0,38,N01,0,190.0,190.0,190.0,190.0,192.24363630188395,2.243636301883956,0.0,0.0
0,39,N01,0,195.0,195.0,195.0,195.0,199.35442054868884,4.354420548688837,0.0,0.0
